1D 20B 4A 4B N1B N20B N4A N4D
0.0000000 0.4662051 0.3490398 0.3968225 0.3890729 0.4571285 0.3973448 0.4299291
0.4662051 0.0000000 0.3372600 0.2694119 0.4066003 0.2613498 0.3465956 0.3207807
0.3490398 0.3372600 0.0000000 0.2036252 0.3533224 0.3077996 0.2601530 0.2759280
0.3968225 0.2694119 0.2036252 0.0000000 0.3614894 0.2753268 0.2670592 0.2699351
0.3890729 0.4066003 0.3533224 0.3614894 0.0000000 0.2712473 0.2097634 0.2144149
0.4571285 0.2613498 0.3077996 0.2753268 0.2712473 0.0000000 0.2339540 0.1619830
0.3973448 0.3465956 0.2601530 0.2670592 0.2097634 0.2339540 0.0000000 0.1863158
0.4299291 0.3207807 0.2759280 0.2699351 0.2144149 0.1619830 0.1863158 0.0000000
