1D 20B 4A 4B N1B N20B N4B N4D
0.0000000 0.4950824 0.3961631 0.3757109 0.3364985 0.4044723 0.4623092 0.4272411
0.4950824 0.0000000 0.2198280 0.3163855 0.3800570 0.2492194 0.3376964 0.2320754
0.3961631 0.2198280 0.0000000 0.2329588 0.3114082 0.1977595 0.2852135 0.2241548
0.3757109 0.3163855 0.2329588 0.0000000 0.2752357 0.2490500 0.3708514 0.2886062
0.3364985 0.3800570 0.3114082 0.2752357 0.0000000 0.2729847 0.2782586 0.2612336
0.4044723 0.2492194 0.1977595 0.2490500 0.2729847 0.0000000 0.2325074 0.1598452
0.4623092 0.3376964 0.2852135 0.3708514 0.2782586 0.2325074 0.0000000 0.1952188
0.4272411 0.2320754 0.2241548 0.2886062 0.2612336 0.1598452 0.1952188 0.0000000
