1D 20B 4A 4B N1B N20B N4A N4D
0.0000000 0.5223881 0.4521277 0.4974619 0.5450450 0.6127820 0.5398230 0.5934959
0.5223881 0.0000000 0.3931624 0.3506494 0.4367816 0.3550725 0.4398496 0.3735849
0.4521277 0.3931624 0.0000000 0.2954545 0.3724696 0.3768116 0.3237705 0.3398438
0.4974619 0.3506494 0.2954545 0.0000000 0.3588710 0.3284133 0.3238866 0.3137255
0.5450450 0.4367816 0.3724696 0.3588710 0.0000000 0.3038869 0.2637795 0.2623574
0.6127820 0.3550725 0.3768116 0.3284133 0.3038869 0.0000000 0.2972028 0.2412587
0.5398230 0.4398496 0.3237705 0.3238866 0.2637795 0.2972028 0.0000000 0.2621723
0.5934959 0.3735849 0.3398438 0.3137255 0.2623574 0.2412587 0.2621723 0.0000000
