1D 20B 4B N1B N20B N4D
0.00000000 0.18181818 0.23076923 0.38461538 0.38461538 0.25000000
0.18181818 0.00000000 0.23076923 0.25000000 0.25000000 0.09090909
0.23076923 0.23076923 0.00000000 0.28571429 0.28571429 0.15384615
0.38461538 0.25000000 0.28571429 0.00000000 0.16666667 0.16666667
0.38461538 0.25000000 0.28571429 0.16666667 0.00000000 0.16666667
0.25000000 0.09090909 0.15384615 0.16666667 0.16666667 0.00000000
