1D 20B 4B 4F N1B N20B N4A N4D
0.0000000 0.4412085 0.4246423 0.3845801 0.4897162 0.4260954 0.4862783 0.5807680
0.4412085 0.0000000 0.1570418 0.1130963 0.6091662 0.4110078 0.5753164 0.5963102
0.4246423 0.1570418 0.0000000 0.1589718 0.5195228 0.3573123 0.4898623 0.5106467
0.3845801 0.1130963 0.1589718 0.0000000 0.5313720 0.3532503 0.5095320 0.5209982
0.4897162 0.6091662 0.5195228 0.5313720 0.0000000 0.2483851 0.1600994 0.1489553
0.4260954 0.4110078 0.3573123 0.3532503 0.2483851 0.0000000 0.2667007 0.2196430
0.4862783 0.5753164 0.4898623 0.5095320 0.1600994 0.2667007 0.0000000 0.1714502
0.5807680 0.5963102 0.5106467 0.5209982 0.1489553 0.2196430 0.1714502 0.0000000
