1D 20B 4B 4F N1B N20B N4A N4D
0.0000000 0.2187500 0.1714286 0.1818182 0.1142857 0.1428571 0.2250000 0.1891892
0.2187500 0.0000000 0.2121212 0.2812500 0.2571429 0.2352941 0.3902439 0.3243243
0.1714286 0.2121212 0.0000000 0.2777778 0.1111111 0.2368421 0.2195122 0.1842105
0.1818182 0.2812500 0.2777778 0.0000000 0.2222222 0.2972973 0.2750000 0.2432432
0.1142857 0.2571429 0.1111111 0.2222222 0.0000000 0.1842105 0.1707317 0.1315789
0.1428571 0.2352941 0.2368421 0.2972973 0.1842105 0.0000000 0.3181818 0.2051282
0.2250000 0.3902439 0.2195122 0.2750000 0.1707317 0.3181818 0.0000000 0.1463415
0.1891892 0.3243243 0.1842105 0.2432432 0.1315789 0.2051282 0.1463415 0.0000000
