1D 20B 4B N1B N20B N4D
0.00000000 0.65370616 0.33567286 0.30641563 0.33831968 0.27684434
0.65370616 0.00000000 0.43174508 0.74693754 0.42629209 0.49079277
0.33567286 0.43174508 0.00000000 0.50303600 0.31761912 0.28641708
0.30641563 0.74693754 0.50303600 0.00000000 0.34955117 0.28317706
0.33831968 0.42629209 0.31761912 0.34955117 0.00000000 0.09231264
0.27684434 0.49079277 0.28641708 0.28317706 0.09231264 0.00000000
