1D 20B 4A 4B N1B N20B N4B N4D
0.0000000 0.6250000 0.5365854 0.5510204 0.4750000 0.6000000 0.5740741 0.6551724
0.6250000 0.0000000 0.4117647 0.3571429 0.4814815 0.3846154 0.4444444 0.4285714
0.5365854 0.4117647 0.0000000 0.4042553 0.3750000 0.4827586 0.5000000 0.5357143
0.5510204 0.3571429 0.4042553 0.0000000 0.4800000 0.3770492 0.4137931 0.4754098
0.4750000 0.4814815 0.3750000 0.4800000 0.0000000 0.4655172 0.4814815 0.4909091
0.6000000 0.3846154 0.4827586 0.3770492 0.4655172 0.0000000 0.4558824 0.2903226
0.5740741 0.4444444 0.5000000 0.4137931 0.4814815 0.4558824 0.0000000 0.4285714
0.6551724 0.4285714 0.5357143 0.4754098 0.4909091 0.2903226 0.4285714 0.0000000
