"","Species.watershed","Watershed_name","Species","Common_name","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"37","Reithrodontomys_megalotis.4B","4B","Reithrodontomys_megalotis","Western harvest mouse",1,1,15,6,4,6,6,22,2,0,11,10,6,2,2,5,26,48,5,6,12,4
"38","Reithrodontomys_montanus.4B","4B","Reithrodontomys_montanus","Plains harvest mouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Sigmodon_hispidus.4B","4B","Sigmodon_hispidus","Hispid cotton rat",3,0,0,0,0,1,0,1,9,4,9,1,1,0,2,6,0,34,0,0,4,0
"40","Spermophilus_tridecemlineatus.4B","4B","Spermophilus_tridecemlineatus","Thirteen-lined ground squirrel",7,4,0,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"41","Synaptomys_cooperi.4B","4B","Synaptomys_cooperi","Southern bog lemming",0,7,4,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0
"42","Zapus_hudsonius.4B","4B","Zapus_hudsonius","Meadow jumping mouse",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"43","Blarina_hylophaga.N1B","N1B","Blarina_hylophaga","Elliot's short-tailed shrew",1,2,0,1,0,0,0,4,0,0,0,0,0,0,0,1,2,1,2,1,0,0
"44","Chaetodipus_hispidus.N1B","N1B","Chaetodipus_hispidus","Hispid pocket mouse",0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0
"45","Cryptotis_parva.N1B","N1B","Cryptotis_parva","North American least shrew",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Microtus_ochrogaster.N1B","N1B","Microtus_ochrogaster","Prairie vole",1,17,15,1,0,0,0,1,0,0,0,0,1,0,0,2,2,9,1,0,1,0
"47","Mus_musculus.N1B","N1B","Mus_musculus","House mouse",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Neotoma_floridana.N1B","N1B","Neotoma_floridana","Eastern woodrat",0,0,0,0,0,0,0,0,3,1,2,3,2,0,3,3,4,2,3,3,0,0
"49","Peromyscus_leucopus.N1B","N1B","Peromyscus_leucopus","White-footed mouse",12,7,9,2,4,5,11,7,5,1,1,1,4,0,0,8,3,6,10,21,12,3
"50","Peromyscus_maniculatus.N1B","N1B","Peromyscus_maniculatus","Deer mouse",32,59,14,19,25,73,25,35,24,21,55,22,31,40,42,75,51,47,54,66,43,25
"51","Reithrodontomys_megalotis.N1B","N1B","Reithrodontomys_megalotis","Western harvest mouse",0,2,7,5,0,0,2,8,2,0,0,1,0,2,0,1,4,10,3,0,0,0
"52","Reithrodontomys_montanus.N1B","N1B","Reithrodontomys_montanus","Plains harvest mouse",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"53","Sigmodon_hispidus.N1B","N1B","Sigmodon_hispidus","Hispid cotton rat",0,6,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","Spermophilus_tridecemlineatus.N1B","N1B","Spermophilus_tridecemlineatus","Thirteen-lined ground squirrel",0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0
"55","Synaptomys_cooperi.N1B","N1B","Synaptomys_cooperi","Southern bog lemming",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","Zapus_hudsonius.N1B","N1B","Zapus_hudsonius","Meadow jumping mouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Blarina_hylophaga.N20B","N20B","Blarina_hylophaga","Elliot's short-tailed shrew",0,17,0,5,0,0,1,2,3,3,0,3,2,0,4,0,0,2,4,0,0,0
"58","Chaetodipus_hispidus.N20B","N20B","Chaetodipus_hispidus","Hispid pocket mouse",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0
"59","Cryptotis_parva.N20B","N20B","Cryptotis_parva","North American least shrew",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","Microtus_ochrogaster.N20B","N20B","Microtus_ochrogaster","Prairie vole",0,21,10,0,0,1,2,2,0,0,4,2,2,0,0,3,1,5,0,0,0,0
"61","Mus_musculus.N20B","N20B","Mus_musculus","House mouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","Neotoma_floridana.N20B","N20B","Neotoma_floridana","Eastern woodrat",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"63","Peromyscus_leucopus.N20B","N20B","Peromyscus_leucopus","White-footed mouse",0,15,11,1,4,8,22,12,22,13,16,6,8,2,10,20,11,20,41,24,8,1
"64","Peromyscus_maniculatus.N20B","N20B","Peromyscus_maniculatus","Deer mouse",14,23,10,11,9,47,13,20,13,2,8,12,25,11,17,27,19,18,12,12,10,15
"65","Reithrodontomys_megalotis.N20B","N20B","Reithrodontomys_megalotis","Western harvest mouse",0,1,7,4,0,2,3,19,1,0,4,4,1,2,0,5,2,14,1,2,4,0
"66","Reithrodontomys_montanus.N20B","N20B","Reithrodontomys_montanus","Plains harvest mouse",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","Sigmodon_hispidus.N20B","N20B","Sigmodon_hispidus","Hispid cotton rat",0,1,0,0,1,4,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"68","Spermophilus_tridecemlineatus.N20B","N20B","Spermophilus_tridecemlineatus","Thirteen-lined ground squirrel",1,2,0,1,1,1,0,2,0,0,0,0,0,0,0,2,0,1,0,0,1,0
"69","Synaptomys_cooperi.N20B","N20B","Synaptomys_cooperi","Southern bog lemming",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Zapus_hudsonius.N20B","N20B","Zapus_hudsonius","Meadow jumping mouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","Blarina_hylophaga.N4D","N4D","Blarina_hylophaga","Elliot's short-tailed shrew",1,17,0,5,2,3,1,0,0,0,0,1,8,2,0,1,3,1,3,1,1,0
"72","Chaetodipus_hispidus.N4D","N4D","Chaetodipus_hispidus","Hispid pocket mouse",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0
"73","Cryptotis_parva.N4D","N4D","Cryptotis_parva","North American least shrew",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","Microtus_ochrogaster.N4D","N4D","Microtus_ochrogaster","Prairie vole",0,9,9,0,2,4,1,5,5,0,0,1,1,0,0,4,9,11,0,0,0,0
"75","Mus_musculus.N4D","N4D","Mus_musculus","House mouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"76","Neotoma_floridana.N4D","N4D","Neotoma_floridana","Eastern woodrat",0,0,0,0,0,0,0,0,1,1,5,3,1,1,3,3,3,0,1,3,3,0
"77","Peromyscus_leucopus.N4D","N4D","Peromyscus_leucopus","White-footed mouse",14,17,2,5,4,24,20,17,3,2,11,2,9,12,3,13,3,14,17,18,6,14
"78","Peromyscus_maniculatus.N4D","N4D","Peromyscus_maniculatus","Deer mouse",10,32,4,10,8,15,23,42,6,7,49,22,22,9,34,38,18,29,22,17,8,12
"79","Reithrodontomys_megalotis.N4D","N4D","Reithrodontomys_megalotis","Western harvest mouse",1,3,9,3,3,6,1,10,1,0,1,2,2,2,0,3,4,27,4,3,3,1
"80","Reithrodontomys_montanus.N4D","N4D","Reithrodontomys_montanus","Plains harvest mouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","Sigmodon_hispidus.N4D","N4D","Sigmodon_hispidus","Hispid cotton rat",0,1,0,4,2,0,1,2,1,0,2,5,0,0,0,0,0,5,0,0,0,1
"82","Spermophilus_tridecemlineatus.N4D","N4D","Spermophilus_tridecemlineatus","Thirteen-lined ground squirrel",4,4,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"83","Synaptomys_cooperi.N4D","N4D","Synaptomys_cooperi","Southern bog lemming",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","Zapus_hudsonius.N4D","N4D","Zapus_hudsonius","Meadow jumping mouse",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
