"","Watershed1","Year1","Watershed2","Year2","Jacc_diss","Bray_diss"
"94","N20B",1992,"N20B",1997,0.666666666666667,0.238095238095238
"95","N20B",1992,"N20B",1998,0.857142857142857,0.69047619047619
"96","N20B",1992,"N20B",1999,0.666666666666667,0.614035087719298
"97","N20B",1992,"N20B",2000,0.833333333333333,0.675
"98","N20B",1992,"N20B",2001,0.75,0.888888888888889
"99","N20B",1992,"N20B",2002,0.8,0.75
"100","N20B",1992,"N20B",2003,0.875,0.586206896551724
"101","N20B",1992,"N20B",2004,0.857142857142857,0.358974358974359
"102","N20B",1992,"N20B",2005,0.75,0.266666666666667
"103","N20B",1992,"N20B",2006,0.8,0.46875
"104","N20B",1992,"N20B",2007,0.666666666666667,0.5
"105","N20B",1992,"N20B",2008,0.8,0.424242424242424
"106","N20B",1992,"N20B",2009,0.714285714285714,0.688524590163934
"107","N20B",1992,"N20B",2010,0.8,0.793103448275862
"108","N20B",1992,"N20B",2011,0.8,0.7
"109","N20B",1992,"N20B",2012,0.5,0.521739130434783
"110","N20B",1992,"N20B",2013,0.666666666666667,0.0666666666666667
"111","N4D",1992,"N4D",1992,0,0
"112","N4D",1992,"N4D",1993,0.375,0.35
"113","N4D",1992,"N4D",1994,0.333333333333333,0.658974358974359
"114","N4D",1992,"N4D",1995,0.166666666666667,0.385714285714286
"115","N4D",1992,"N4D",1996,0.428571428571429,0.40952380952381
"116","N4D",1992,"N4D",1997,0.333333333333333,0.183333333333333
"117","N4D",1992,"N4D",1998,0.428571428571429,0.198581560283688
"118","N4D",1992,"N4D",1999,0.428571428571429,0.3995670995671
"119","N4D",1992,"N4D",2000,0.625,0.456862745098039
"120","N4D",1992,"N4D",2001,0.714285714285714,0.484848484848485
"121","N4D",1992,"N4D",2002,0.625,0.492753623188406
"122","N4D",1992,"N4D",2003,0.5,0.55
"123","N4D",1992,"N4D",2004,0.428571428571429,0.390697674418605
"124","N4D",1992,"N4D",2005,0.428571428571429,0.155555555555556
"125","N4D",1992,"N4D",2006,0.666666666666667,0.591666666666667
"126","N4D",1992,"N4D",2007,0.375,0.398958333333333
"127","N4D",1992,"N4D",2008,0.5,0.526829268292683
"128","N4D",1992,"N4D",2009,0.5,0.466666666666667
"129","N4D",1992,"N4D",2010,0.428571428571429,0.245833333333333
"130","N4D",1992,"N4D",2011,0.333333333333333,0.180952380952381
"131","N4D",1992,"N4D",2012,0.333333333333333,0.314285714285714
"132","N4D",1992,"N4D",2013,0.5,0.166666666666667
