Species,Watershed_name,Common_name,numyears,numpresent,percyears,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,chiPval,chi_fearly,chi_flate,runsPval,numtransitions,trend,classification
Blarina_hylophaga,4B,Elliot's short-tailed shrew,22,13,0.5909090909090909,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0.5454545454545454,0.6363636363636364,0.22944081148725978,9,0,Random
Chaetodipus_hispidus,4B,Hispid pocket mouse,22,3,0.13636363636363635,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.09090909090909091,0.18181818181818182,0.7897184925736138,6,0,Random
Cryptotis_parva,4B,North American least shrew,22,2,0.09090909090909091,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,NA,Rare
Microtus_ochrogaster,4B,Prairie vole,22,14,0.6363636363636364,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0.65761917660119,0.5454545454545454,0.7272727272727273,0.2876978177404397,9,0,Random
Mus_musculus,4B,House mouse,22,2,0.09090909090909091,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,4,NA,Rare
Neotoma_floridana,4B,Eastern woodrat,22,7,0.3181818181818182,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0.06710788204818692,0.09090909090909091,0.5454545454545454,0.010546155307753992,5,0,Recurrent
Peromyscus_leucopus,4B,White-footed mouse,22,20,0.9090909090909091,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,NA,NA,NA,NA,4,NA,No_change-present
Peromyscus_maniculatus,4B,Deer mouse,22,20,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,NA,NA,NA,NA,1,NA,No_change-present
Reithrodontomys_megalotis,4B,Western harvest mouse,22,21,0.9545454545454546,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,2,NA,No_change-present
Reithrodontomys_montanus,4B,Plains harvest mouse,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,No_change-absent
Sigmodon_hispidus,4B,Hispid cotton rat,22,12,0.5454545454545454,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0.5454545454545454,0.5454545454545454,0.5159808414704137,11,0,Random
Spermophilus_tridecemlineatus,4B,Thirteen-lined ground squirrel,22,7,0.3181818181818182,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.06710788204818692,0.5454545454545454,0.09090909090909091,0.010546155307753992,5,0,Recurrent
Synaptomys_cooperi,4B,Southern bog lemming,22,8,0.36363636363636365,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.65761917660119,0.45454545454545453,0.2727272727272727,0.15055102310612908,8,0,Random
Zapus_hudsonius,4B,Meadow jumping mouse,22,1,0.045454545454545456,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,NA,Rare
Blarina_hylophaga,N1B,Elliot's short-tailed shrew,22,9,0.4090909090909091,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0.36363636363636365,0.45454545454545453,0.049884242180641074,7,0,Recurrent
Chaetodipus_hispidus,N1B,Hispid pocket mouse,22,6,0.2727272727272727,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0.6321424221485428,0.18181818181818182,0.36363636363636365,0.9660958587071325,12,0,Random
Cryptotis_parva,N1B,North American least shrew,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,No_change-absent
Microtus_ochrogaster,N1B,Prairie vole,22,11,0.5,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0.45454545454545453,0.5454545454545454,0.19109646115255968,9,0,Random
Mus_musculus,N1B,House mouse,22,1,0.045454545454545456,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,NA,Rare
Neotoma_floridana,N1B,Eastern woodrat,22,11,0.5,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0.08808151166218992,0.2727272727272727,0.7272727272727273,0.001112165631212164,4,0,Recurrent
Peromyscus_leucopus,N1B,White-footed mouse,22,20,0.9090909090909091,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,NA,NA,NA,NA,2,NA,No_change-present
Peromyscus_maniculatus,N1B,Deer mouse,22,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,NA,No_change-present
Reithrodontomys_megalotis,N1B,Western harvest mouse,22,12,0.5454545454545454,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0.5454545454545454,0.5454545454545454,0.34432511390263826,10,0,Random
Reithrodontomys_montanus,N1B,Plains harvest mouse,22,3,0.13636363636363635,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.09090909090909091,0.18181818181818182,0.7897184925736138,6,0,Random
