"","Species.watershed","Watershed_name","Genus_spp","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"153","rhus_glabr.20B","20B","rhus_glabr",3,3,2,3,3,3,3,3,3,3.5,1.5,2,2,1,3,2,2.5,3,2,3,3,2,3,3,3,2,2,2,1,1,1.5
"154","rosa_arkan.20B","20B","rosa_arkan",3,3,2,2,2,2,1.5,2,3,2,2,2,2,3,2,2,2,2,2,1,1,1,1.5,1,1,1,1,1,1,1,1
"155","rubus_pensi.20B","20B","rubus_pensi",2,2.5,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,3,3,3,2.5,3,3,2,3,2,2,2,2,2,2
"156","ruelli_humil.20B","20B","ruelli_humil",2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,1
"157","salvia_azure.20B","20B","salvia_azure",2,2,2,2,2,2,2,1,1,2,1.5,2,2,1.5,1,1,1,1,1,1,1,1,1.5,1,1,2,1,1,1,1,1
"158","schiza_scopa.20B","20B","schiza_scopa",2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"159","silene_antir.20B","20B","silene_antir",1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","solanu_carol.20B","20B","solanu_carol",1,2,1.5,1.5,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"161","solida_altis.20B","20B","solida_altis",2,3,2,2,3,3,2.5,3,4,4,5,5,5,5,4.5,5,5,4,4,2,2,2,2,1,1,1,1,1.5,1,1,1
"162","solida_misso.20B","20B","solida_misso",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.5,1,2,2,3,3,1,1,1,2,2,2,2,2.5,2,2
"163","solida_rigid.20B","20B","solida_rigid",1,2,0,2,2,2,2,2,2,2,1.5,2,1.5,1,1.5,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1
"164","sorgha_nutan.20B","20B","sorgha_nutan",3,3,2,2,2,1,1,2,2,2,2,2,2,2,1,2,2,1.5,1,1,1,1,1,2,2,2,2,2,2,2,2
"165","sparti_pecti.20B","20B","sparti_pecti",2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,1,0,0,1,0,1.5,2,1,2,3,3,3.5,3.5
"166","spermo_inerm.20B","20B","spermo_inerm",1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0
"167","spheno_obtus.20B","20B","spheno_obtus",1,2,2,1,1,1,1,1.5,1,1,1,0,1,1,1,1,1,1.5,1,1,0,0,1,1,1,1,1,1,1,1,1
"168","sporob_compo.20B","20B","sporob_compo",3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"169","sporob_heter.20B","20B","sporob_heter",3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"170","sympho_orbic.20B","20B","sympho_orbic",2.5,2,2,2,2,2,2,2,2,2,2.5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"171","symphy_erico.20B","20B","symphy_erico",2,3,2,2,2,2,2,2,2,2,2,2.5,3,2,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"172","symphy_oblon.20B","20B","symphy_oblon",2,2,2,2,2,2,2,2,3,3,3,3,3,2,3,2,2,1,2,2,2.5,1.5,2,2,1.5,2,1,2,2,2,1
"173","symphy_seric.20B","20B","symphy_seric",1,2,2,2,2,2,2,2,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1
"174","tragia_beton.20B","20B","tragia_beton",1,2,2,0,1,0,1,1,1,1.5,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"175","tragop_dubiu.20B","20B","tragop_dubiu",1,1,0,1,1.5,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0
"176","trioda_lepto.20B","20B","trioda_lepto",1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177","trioda_perfo.20B","20B","trioda_perfo",1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0
"178","ulmus_ameri.20B","20B","ulmus_ameri",1,2,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"179","vernon_baldw.20B","20B","vernon_baldw",2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"180","vicia_ameri.20B","20B","vicia_ameri",3,0,1,2,1.5,2,1.5,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"181","viola_bicol.20B","20B","viola_bicol",1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
"182","vulpia_octof.20B","20B","vulpia_octof",1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183","acalyp_virgi.4A","4A","acalyp_virgi",1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1.5,2,1,0,0,1,1,1,1,1,1,1,1,1,1
"184","achill_mille.4A","4A","achill_mille",1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"185","ambros_psilo.4A","4A","ambros_psilo",1,2,2,2,1,1,2,2,3,1.5,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1
"186","amorph_canes.4A","4A","amorph_canes",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2
"187","androp_gerar.4A","4A","androp_gerar",5,4,4,4,4,4,4,4,4,4,4.5,4,4,4,4,4,4,4,5,5,4.5,4,4,4.5,4,4.5,4,5,4,4.5,5
"188","antenn_negle.4A","4A","antenn_negle",1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1
"189","apocyn_canna.4A","4A","apocyn_canna",2,2,2,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1
"190","artemi_ludov.4A","4A","artemi_ludov",1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1
"191","asclep_steno.4A","4A","asclep_steno",1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"192","asclep_syria.4A","4A","asclep_syria",1,2,2,1,1,1,1.5,2,2,2,0,0,0,0,2,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
"193","asclep_tuber.4A","4A","asclep_tuber",1,2,2,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,2,1,1,1,1,1,1,1,1,1,1,1
"194","asclep_verti.4A","4A","asclep_verti",1.5,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"195","asclep_virdf.4A","4A","asclep_virdf",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"196","asclep_virds.4A","4A","asclep_virds",1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,1,1.5,1,2,1,1,1,1,1,1,1,1
"197","baptis_austr.4A","4A","baptis_austr",2,2,1,2,1,1,1,1,1.5,1,1,1,1,1.5,1,1,1,1,1,1,1,1.5,1,1,1,1,1.5,1,1,1,1
"198","boutel_curti.4A","4A","boutel_curti",1,2,2,2,2,1,2,2,1,2,2,1,1.5,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1
"199","boutel_dacty.4A","4A","boutel_dacty",1,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200","boutel_graci.4A","4A","boutel_graci",2,2,2,2,2,2,2,1,1,1,1,1,1,1,1.5,2,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1
"201","boutel_hirsu.4A","4A","boutel_hirsu",2,2,2,2,1,1,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"202","bricke_eupat.4A","4A","bricke_eupat",2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"203","callir_invol.4A","4A","callir_invol",1,0,1,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"204","carex_brevi.4A","4A","carex_brevi",1,0,0,0,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"205","carex_inops.4A","4A","carex_inops",1,0,0,0,0,0,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1
"206","carex_meadi.4A","4A","carex_meadi",1,0,0,2,1,1,1,2,1,1,2,2,2,2,1,2,1.5,1,2,1,1,1,2,2,2,2,2,2,2,2,2
"207","ceanot_herba.4A","4A","ceanot_herba",2,3,3,3,3,3,2.5,2,3,3,1,2,2,2,3,1,1,1.5,1.5,2,2,2,2,1,2,2,1,1.5,2,2,2
"208","cirsiu_undul.4A","4A","cirsiu_undul",1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,2,1,1,1,1,1,0,0
"209","comand_umbel.4A","4A","comand_umbel",1,0,2,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1.5
"210","cornus_drumm.4A","4A","cornus_drumm",1.5,3,3,3,3,2,1,1,2,2,3,3,3,4,4,4,4,4,4,4,4,5,5.5,4,4,4,4,4,4,4,3.5
"211","croton_monan.4A","4A","croton_monan",1,1,1,1,1,1,1,1,1,2,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0
"212","cyperu_lupul.4A","4A","cyperu_lupul",1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1
"213","dalea_candi.4A","4A","dalea_candi",1,2,1.5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"214","dalea_multi.4A","4A","dalea_multi",2,2.5,2,2,1,1,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215","dalea_purpu.4A","4A","dalea_purpu",2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"216","delphi_carol.4A","4A","delphi_carol",1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0
"217","desmod_illin.4A","4A","desmod_illin",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"218","desmod_sessi.4A","4A","desmod_sessi",1.5,2,0,2,2,1.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"219","dichan_oligo.4A","4A","dichan_oligo",1,2,2,2,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,1,1,1,1,1.5,1,1,1
"220","dichan_ovale.4A","4A","dichan_ovale",1,2,1,1.5,1,1.5,1,1.5,2,1,1,1,1,1,2,2,2,1.5,1,1.5,1.5,1,1,1,2,1,1,1,1,1.5,2
"221","digita_cogna.4A","4A","digita_cogna",1,1.5,1,1,0,0,0,1,1,1,1,0,0,0,1,1,1.5,1,1,1,0,1,0,1,1.5,2,1,2,2,1,0
"222","elymus_canad.4A","4A","elymus_canad",1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"223","eragro_spect.4A","4A","eragro_spect",1,2,1.5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"224","eriger_strig.4A","4A","eriger_strig",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
"225","eupato_altis.4A","4A","eupato_altis",2,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"226","euphor_cyath.4A","4A","euphor_cyath",1.5,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"227","euphor_margi.4A","4A","euphor_margi",1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1
"228","euphor_missu.4A","4A","euphor_missu",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"229","euphor_serpe.4A","4A","euphor_serpe",1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"230","euphor_spath.4A","4A","euphor_spath",1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0
"231","hierac_longi.4A","4A","hierac_longi",1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"232","hybant_verti.4A","4A","hybant_verti",2,2,2,2,1,2,2,2,2,1,2,1,0,1,2,1,1,1,1,0,0,0,1.5,2,1.5,1,1,1,1,1,1
"233","koeler_macra.4A","4A","koeler_macra",1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"234","lesped_capit.4A","4A","lesped_capit",2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"235","liatri_punct.4A","4A","liatri_punct",1,2,2,2,1,1,1,1,2,2,1.5,2,2,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"236","linum_sulca.4A","4A","linum_sulca",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0
"237","lithos_occid.4A","4A","lithos_occid",2,2,2,2,1,1,1,1,1,1.5,0,0,1,1,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"238","lomati_foeni.4A","4A","lomati_foeni",1.5,2,2,2,2,1,1,1,1,1.5,2,2,2,1,1,1.5,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
"239","mimosa_quadr.4A","4A","mimosa_quadr",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1.5,1,1,2,1,1,2
"240","mirabi_linea.4A","4A","mirabi_linea",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"241","muhlen_cuspi.4A","4A","muhlen_cuspi",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"242","opunti_macro.4A","4A","opunti_macro",2,2,2,2,2,1,2,1,1,2,1,1,1.5,1.5,1,1,2,1,1,1,1,1.5,1,1.5,1.5,2,2,2,2,1,1
"243","oxalis_stric.4A","4A","oxalis_stric",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"244","oxalis_viola.4A","4A","oxalis_viola",1,1,2,2,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0
"245","packer_platt.4A","4A","packer_platt",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1
"246","panicu_virga.4A","4A","panicu_virga",1,2,2,2,2,2,2,2,2,2,1,1,1,1,1.5,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1
"247","pediom_escul.4A","4A","pediom_escul",1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0
"248","pediom_tenui.4A","4A","pediom_tenui",2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,2,2,3,3,2,3,3,1,2,2,2,1,2,2
"249","physal_pumil.4A","4A","physal_pumil",1,2,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2
"250","physal_virgi.4A","4A","physal_virgi",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"251","planta_patag.4A","4A","planta_patag",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"252","poa_prate.4A","4A","poa_prate",1,3,3,2,2,3,3,2,2,2,2,2,2,2,1,2,2,2.5,1,1,1,1,1,1,1,1,1,1,1,1,1
"253","ratibi_colum.4A","4A","ratibi_colum",1,2,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"254","rhus_glabr.4A","4A","rhus_glabr",1,2,3,2.5,2,1,1.5,1,2,2,2,2,2,2,2,2,2.5,2,2.5,2,3,3,3,3,2.5,2.5,2.5,2,2,2,2
"255","rosa_arkan.4A","4A","rosa_arkan",1,2.5,2,2.5,2,2,2,1,2,2,1,1,1,2,2,2,1,1.5,2,2,2,2,2,1,1.5,1,1,2,2,2,2
"256","ruelli_humil.4A","4A","ruelli_humil",1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"257","salvia_azure.4A","4A","salvia_azure",2,2,2,2,1,1,1,2,1,1,3,2,2,2,2,2,2,2,2,1,1,1,1.5,2,2,2,2,2,1,2,2
"258","schiza_scopa.4A","4A","schiza_scopa",2.5,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2,2,2
"259","setari_pumil.4A","4A","setari_pumil",1.5,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"260","sisyri_campe.4A","4A","sisyri_campe",1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
"261","solanu_carol.4A","4A","solanu_carol",1,2,2,1.5,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1
"262","solida_altis.4A","4A","solida_altis",2,3,2,2.5,1.5,1,1,1.5,1,2,1.5,2,2,2,2,3,3,3,4,4,4,4,4,3,4,3.5,4,4,3,3,2
"263","solida_misso.4A","4A","solida_misso",2,2,2,2,1,1,1,1,1,1,1,1.5,1,2,1,1.5,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1
"264","solida_rigid.4A","4A","solida_rigid",2,1,0,1,1,1,1,1.5,1,2,1.5,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,2,2,1,1
"265","sorgha_nutan.4A","4A","sorgha_nutan",2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2
"266","spiran_verna.4A","4A","spiran_verna",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"267","sporob_compo.4A","4A","sporob_compo",2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1.5
"268","sporob_heter.4A","4A","sporob_heter",3,3.5,3.5,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"269","sympho_orbic.4A","4A","sympho_orbic",1,2,2,2,2,1.5,1,1,2,2,1,1,1,2,2,2,2,2.5,2,2,3,2,2,2,2,1.5,1,2,1.5,1.5,1
"270","symphy_erico.4A","4A","symphy_erico",2,3,3,3,3,3,3,3,4,4,4,5,5,5,2,3.5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
"271","symphy_oblon.4A","4A","symphy_oblon",2,2,2,2,2,2,2,2,3,2,3,4,4,3,2,2.5,2,2,2.5,2,2,2,3,2,2,2,2,2,2,2,2
"272","symphy_seric.4A","4A","symphy_seric",1,2,1,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,2,1,1,1
"273","tragia_beton.4A","4A","tragia_beton",1,2,2,2,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"274","verben_stric.4A","4A","verben_stric",1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
"275","vernon_baldw.4A","4A","vernon_baldw",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"276","acalyp_virgi.4B","4B","acalyp_virgi",1,2,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1
"277","achill_mille.4B","4B","achill_mille",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"278","ambros_psilo.4B","4B","ambros_psilo",1,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,2,2,1,1,1,2,1,2,2,2,1,1,1,1,1
"279","amorph_canes.4B","4B","amorph_canes",2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"280","androp_gerar.4B","4B","androp_gerar",5,4,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
"281","andros_occid.4B","4B","andros_occid",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"282","antenn_negle.4B","4B","antenn_negle",1,2,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"283","artemi_ludov.4B","4B","artemi_ludov",2,2,2,2,2,2,1,1,1,1,1,1,1.5,1,1,1,2,1,2,2,2,2,2,2,2,1,1,1.5,2,2,2
"284","asclep_steno.4B","4B","asclep_steno",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"285","asclep_syria.4B","4B","asclep_syria",2,2.5,3,2,2,2,1.5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,0
"286","asclep_tuber.4B","4B","asclep_tuber",1.5,2,1.5,0,1.5,1,1,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"287","asclep_verti.4B","4B","asclep_verti",1,2,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"288","asclep_virdf.4B","4B","asclep_virdf",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
"289","asclep_virds.4B","4B","asclep_virds",2,2,2,2,2,1,2,2,1,1,1,1.5,1,1,1,1,1,1,1,0,0,1,2,0,0,1,1,0,1,1,1
"290","astrag_crass.4B","4B","astrag_crass",2,2,2,2,1.5,1.5,2,2,1.5,1,2,1.5,1.5,1.5,2,1,2,1,0,1,0,1.5,0,1,0,0,0,0,0,0,0
"291","baptis_austr.4B","4B","baptis_austr",2,2,2,2,2,2,2,2,1,2,1,2,1,1,2,1,1,1,1,1,1,2,1,1.5,1,1,1,1,1,1,1
"292","boutel_curti.4B","4B","boutel_curti",1,2.5,1,1,1,1,2,2,2,2,2,2,2,2,2,3,2,3,2,1,1,1,1,2,2,2,2,2,2,2,2
"293","boutel_hirsu.4B","4B","boutel_hirsu",2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"294","bricke_eupat.4B","4B","bricke_eupat",2,2,2,2,2,1,2,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"295","callir_invol.4B","4B","callir_invol",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"296","carex_brevi.4B","4B","carex_brevi",1,0,0,0,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"297","carex_gravi.4B","4B","carex_gravi",1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"298","carex_inops.4B","4B","carex_inops",1,0,0,1,1,1,1,1,1,2,2,3,2.5,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,1.5,1,1
"299","carex_meadi.4B","4B","carex_meadi",1,0,2,2,1,1,1,1,2,2,1,1,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"300","ceanot_herba.4B","4B","ceanot_herba",2,2,2,3,2,3,2,2,2,2,2,2,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"301","celtis_occid.4B","4B","celtis_occid",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"302","chenop_album.4B","4B","chenop_album",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"303","cirsiu_altis.4B","4B","cirsiu_altis",1,2,2,2,2,1.5,1,2,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"304","cirsiu_undul.4B","4B","cirsiu_undul",1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"305","comand_umbel.4B","4B","comand_umbel",1,0,2,2,2,2,1,2,1,1,2,2,3,3,4,3,1,1,1,0,1,2,1.5,1,1,1,1,1,1,1,1
"306","cornus_drumm.4B","4B","cornus_drumm",2,2.5,2.5,2,2,2,2.5,3,4,3,5,5,4.5,4.5,4,5,5.5,5.5,6,6,6,6,6,6,6,5,5,6,6,5,5
"307","cyperu_lupul.4B","4B","cyperu_lupul",1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1
"308","dalea_candi.4B","4B","dalea_candi",2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1
"309","dalea_purpu.4B","4B","dalea_purpu",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
