Recyear,Species.watershed,Watershed_name,Species,Common_name,Count
1993,Chaetodipus_hispidus.N4D,N4D,Chaetodipus_hispidus,Hispid pocket mouse,0
1993,Cryptotis_parva.N4D,N4D,Cryptotis_parva,North American least shrew,0
1993,Microtus_ochrogaster.N4D,N4D,Microtus_ochrogaster,Prairie vole,9
1993,Mus_musculus.N4D,N4D,Mus_musculus,House mouse,0
1993,Neotoma_floridana.N4D,N4D,Neotoma_floridana,Eastern woodrat,0
1993,Peromyscus_leucopus.N4D,N4D,Peromyscus_leucopus,White-footed mouse,17
1993,Peromyscus_maniculatus.N4D,N4D,Peromyscus_maniculatus,Deer mouse,32
1993,Reithrodontomys_megalotis.N4D,N4D,Reithrodontomys_megalotis,Western harvest mouse,3
1993,Reithrodontomys_montanus.N4D,N4D,Reithrodontomys_montanus,Plains harvest mouse,0
1993,Sigmodon_hispidus.N4D,N4D,Sigmodon_hispidus,Hispid cotton rat,1
1993,Spermophilus_tridecemlineatus.N4D,N4D,Spermophilus_tridecemlineatus,Thirteen-lined ground squirrel,4
1993,Synaptomys_cooperi.N4D,N4D,Synaptomys_cooperi,Southern bog lemming,1
1993,Zapus_hudsonius.N4D,N4D,Zapus_hudsonius,Meadow jumping mouse,0
1994,Blarina_hylophaga.1D,1D,Blarina_hylophaga,Elliot's short-tailed shrew,0
1994,Chaetodipus_hispidus.1D,1D,Chaetodipus_hispidus,Hispid pocket mouse,0
1994,Cryptotis_parva.1D,1D,Cryptotis_parva,North American least shrew,0
1994,Microtus_ochrogaster.1D,1D,Microtus_ochrogaster,Prairie vole,1
1994,Mus_musculus.1D,1D,Mus_musculus,House mouse,1
1994,Neotoma_floridana.1D,1D,Neotoma_floridana,Eastern woodrat,0
1994,Peromyscus_leucopus.1D,1D,Peromyscus_leucopus,White-footed mouse,0
1994,Peromyscus_maniculatus.1D,1D,Peromyscus_maniculatus,Deer mouse,4
1994,Reithrodontomys_megalotis.1D,1D,Reithrodontomys_megalotis,Western harvest mouse,5
1994,Reithrodontomys_montanus.1D,1D,Reithrodontomys_montanus,Plains harvest mouse,0
1994,Sigmodon_hispidus.1D,1D,Sigmodon_hispidus,Hispid cotton rat,0
1994,Spermophilus_tridecemlineatus.1D,1D,Spermophilus_tridecemlineatus,Thirteen-lined ground squirrel,0
1994,Synaptomys_cooperi.1D,1D,Synaptomys_cooperi,Southern bog lemming,3
1994,Zapus_hudsonius.1D,1D,Zapus_hudsonius,Meadow jumping mouse,0
1994,Blarina_hylophaga.20B,20B,Blarina_hylophaga,Elliot's short-tailed shrew,0
1994,Chaetodipus_hispidus.20B,20B,Chaetodipus_hispidus,Hispid pocket mouse,0
1994,Cryptotis_parva.20B,20B,Cryptotis_parva,North American least shrew,0
1994,Microtus_ochrogaster.20B,20B,Microtus_ochrogaster,Prairie vole,13
1994,Mus_musculus.20B,20B,Mus_musculus,House mouse,0
1994,Neotoma_floridana.20B,20B,Neotoma_floridana,Eastern woodrat,0
1994,Peromyscus_leucopus.20B,20B,Peromyscus_leucopus,White-footed mouse,27
1994,Peromyscus_maniculatus.20B,20B,Peromyscus_maniculatus,Deer mouse,0
1994,Reithrodontomys_megalotis.20B,20B,Reithrodontomys_megalotis,Western harvest mouse,31
1994,Reithrodontomys_montanus.20B,20B,Reithrodontomys_montanus,Plains harvest mouse,0
1994,Sigmodon_hispidus.20B,20B,Sigmodon_hispidus,Hispid cotton rat,0
1994,Spermophilus_tridecemlineatus.20B,20B,Spermophilus_tridecemlineatus,Thirteen-lined ground squirrel,0
1994,Synaptomys_cooperi.20B,20B,Synaptomys_cooperi,Southern bog lemming,3
1994,Zapus_hudsonius.20B,20B,Zapus_hudsonius,Meadow jumping mouse,0
1994,Blarina_hylophaga.4B,4B,Blarina_hylophaga,Elliot's short-tailed shrew,0
1994,Chaetodipus_hispidus.4B,4B,Chaetodipus_hispidus,Hispid pocket mouse,0
1994,Cryptotis_parva.4B,4B,Cryptotis_parva,North American least shrew,0
1994,Microtus_ochrogaster.4B,4B,Microtus_ochrogaster,Prairie vole,7
1994,Mus_musculus.4B,4B,Mus_musculus,House mouse,0
1994,Neotoma_floridana.4B,4B,Neotoma_floridana,Eastern woodrat,0
1994,Peromyscus_leucopus.4B,4B,Peromyscus_leucopus,White-footed mouse,10
1994,Peromyscus_maniculatus.4B,4B,Peromyscus_maniculatus,Deer mouse,9
