AOU_code,Common_name,Order,Family,Genus,species,Sequence,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
SPTO,Spotted Towhee,Passeriformes,Passerellidae,Pipilo,maculatus,10358,Passerellidae,Passeriformes,AVIBASE-0B0BC750,13,5,8,0,13,17.4,10.3,6,8,28.4,85.8,11.8,74,13.7,99.4,39.3,Dunning,,NO,,,Forest,2,2,Omnivore,Omnivore,Generalist,14.26,54.19,41.83,-112.1,3630810.42
STFL,Scissor-tailed Flycatcher,Passeriformes,Tyrannidae,Tyrannus,forficatus,5738,Tyrannidae,Passeriformes,AVIBASE-6F65F82B,5,2,3,0,3,22.4,13.9,7.6,6,18.6,121.2,45.1,74.9,37.5,214,39.3,Dunning,,NO,,,Human Modified,2,3,Omnivore,Invertivore,Insessorial,24.1,40.59,33.46,-98.04,1445850.08
SUTA,Summer Tanager,Passeriformes,Cardinalidae,Piranga,rubra,10739,Cardinalidae,Passeriformes,AVIBASE-891798D9,57,25,29,3,10,19.2,13.3,8.4,9,19.5,92,27.9,67.4,29.2,71.3,29.1,Dunning,,NO,,,Forest,1,3,Carnivore,Invertivore,Insessorial,24.5,42.5,33.47,-93.77,3269576.69
TUTI,Tufted Titmouse,Passeriformes,Paridae,Baeolophus,bicolor,7196,Paridae,Passeriformes,AVIBASE-B488AB70,17,5,10,2,11,13.3,8.8,4.9,5.5,20.5,77.9,12.5,65.2,16.1,68.6,21.6,Dunning,,NO,,,Forest,1,1,Carnivore,Invertivore,Insessorial,25.84,45.77,36.97,-86.71,2969712.5
TUVU,Turkey Vulture,Cathartiformes,Cathartidae,Cathartes,aura,2953,Cathartidae,Cathartiformes,AVIBASE-36B3872D,6,0,2,4,4,51.5,27.6,14.3,17.2,54,508.5,135.6,369,26.9,244,1518.2,Dunning,,NO,,,Human Modified,3,2,Scavenger,Scavenger,Terrestrial,-55.72,54.31,6.76,-77.26,28126442.74
UPSA,Upland Sandpiper,Charadriiformes,Scolopacidae,Bartramia,longicauda,2446,Scolopacidae,Charadriiformes,AVIBASE-BF1DA86E,5,2,3,0,4,32.9,21.5,3.4,3.8,48.7,159,83.7,74.8,52.9,79.4,158.9,Dunning,,NO,,,Grassland,3,3,Carnivore,Invertivore,Terrestrial,35.81,69.33,49.36,-105.81,3282893.45
WAVI,Warbling Vireo,Passeriformes,Vireonidae,Vireo,gilvus,6399,Vireonidae,Passeriformes,AVIBASE-66AA469C,21,5,13,3,11,14.3,7.5,3.7,3.7,17.6,70.1,16.5,53.5,23.5,51.3,12.7,Dunning,,NO,,,Forest,1,3,Carnivore,Invertivore,Insessorial,16.11,66.86,45.21,-105.84,9680437.56
WEKI,Western Kingbird,Passeriformes,Tyrannidae,Tyrannus,verticalis,5733,Tyrannidae,Passeriformes,AVIBASE-2281F1C7,4,2,2,0,4,21.8,13.5,7.5,6.4,18.3,126.1,41.9,84.3,33.2,89.9,39.6,Dunning,,NO,,,Shrubland,3,3,Carnivore,Invertivore,Insessorial,26.05,53.7,40.94,-108.96,5067458.79
WITU,Wild Turkey,Galliformes,Phasianidae,Meleagris,gallopavo,350,Phasianidae,Galliformes,AVIBASE-9C5ED06A,5,2,3,0,4,48.6,25.9,17.6,15.3,149.2,448.8,115,332.5,26,351.2,5791.4,Dunning,,NO,,,Forest,2,1,Herbivore,Omnivore,Terrestrial,16.91,50.63,37.44,-98.2,7259958.92
YBCU,Yellow-billed Cuckoo,Cuculiformes,Cuculidae,Coccyzus,americanus,1653,Cuculidae,Cuculiformes,AVIBASE-0CF12F81,12,3,7,2,4,29.2,20,7,8.2,24.5,143.4,62.4,82.6,43,146.3,64,Dunning,,NO,,,Forest,1,3,Carnivore,Invertivore,Insessorial,-14.02,48.99,36.04,-90.96,5270361.03
YEWA,Yellow Warbler,Passeriformes,Parulidae,Setophaga,petechia,10612,Parulidae,Passeriformes,AVIBASE-A6C0C4A9,92,45,24,23,8,11.7,8,3.4,3.2,20,60.2,14.1,45.7,23.6,43.3,10.2,Dunning,,NO,,,Shrubland,1,3,Carnivore,Invertivore,Insessorial,-3.94,70.64,50.59,-108.69,15552185.22
