AOU_code,Common_name,Order,Family,Genus,species,Sequence,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand.Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
CARW,Carolina Wren,Passeriformes,Troglodytidae,Thryothorus,ludovicianus,8613,Troglodytidae,Passeriformes,AVIBASE-5217F951,13,3,6,4,10,16.9,11.1,3.2,3.9,21.4,59.4,6.8,52.6,11.4,50.7,19,Dunning,,NO,,,Woodland,2,1,Carnivore,Invertivore,Insessorial,21.45,45.64,35.21,-87.93,3040027.22
CHSW,Chimney Swift ,Caprimulgiformes,Apodidae,Chaetura,pelagica,1136,Apodidae,Caprimulgiformes,AVIBASE-C3AD1AFF,5,1,3,1,4,6.3,3.5,2.9,2.4,11.6,124.4,86.8,36.6,70.3,43.8,23.6,Dunning,,NO,,,Human Modified,1,3,Carnivore,Invertivore,Aerial,25.48,53.93,40.95,-88.88,5841319.17
CLSW,Cliff Swallow,Passeriformes,Hirundinidae,Petrochelidon,pyrrhonota,7697,Hirundinidae,Passeriformes,AVIBASE-F5C181CA,12,3,5,4,4,11.3,5.9,4.5,3,12.6,109.3,54.2,56.4,49,49.2,21.6,Dunning,,NO,,,Grassland,3,3,Carnivore,Invertivore,Aerial,16.24,66.98,46.7,-108.51,11994340.08
COGR,Common Grackle ,Passeriformes,Icteridae,Quiscalus,quiscula,10535,Icteridae,Passeriformes,AVIBASE-8BBB3255,10,4,6,0,4,33,21.8,7.3,10.5,35.6,132.9,34.3,98.2,25.9,118.2,105.2,Dunning,,NO,,,Wetland,3,2,Carnivore,Omnivore,Terrestrial,24.53,61.37,44.95,-93.93,8216640.27
COHA,Cooper's Hawk ,Accipitriformes,Accipitridae,Accipiter,cooperii,3123,Accipitridae,Accipitriformes,AVIBASE-EB98812F,5,2,3,0,4,25.4,13.9,8.6,13.2,62,241.2,77.8,163.5,32.3,188.4,429.7,Dunning,,NO,,,Woodland,2,3,Carnivore,Vertivore,Aerial,23.28,53.31,41.25,-100.49,8393137.06
CONI,Common Nighthawk,Caprimulgiformes,Caprimulgidae,Chordeiles,minor,1005,Caprimulgidae,Caprimulgiformes,AVIBASE-24E39ACD,10,4,2,4,4,12.7,6.1,3.3,2.7,16.7,192.8,118.7,76.6,60.7,104,79.3,Dunning,,NO,,,Grassland,3,3,Carnivore,Invertivore,Aerial,7.21,65.4,45.23,-100.42,13037233.58
COPO,Common Poorwill ,Caprimulgiformes,Caprimulgidae,Phalaenoptilus,nuttallii,1039,Caprimulgidae,Caprimulgiformes,AVIBASE-D621FFC6,5,2,3,0,4,13.9,6.2,4.2,2.6,17.2,144.2,62.2,83.2,42.8,85.4,48.3,Dunning,,NO,,,Shrubland,3,2,Carnivore,Invertivore,Generalist,21.41,51.9,37.31,-109.44,4384334.96
COYE,Common Yellowthroat ,Passeriformes,Parulidae,Geothlypis,trichas,10595,Parulidae,Passeriformes,AVIBASE-BA4C8A02,23,7,16,0,5,12.7,7.9,3,3.3,20.2,54.7,8.5,44.3,16.1,49.4,9.5,Dunning,,NO,,,Wetland,1,3,Carnivore,Invertivore,Insessorial,18.49,65.84,44.7,-101.34,12826786.25
DEJU,Dark-eyed Junco,Passeriformes,Passerellidae,Junco,hyemalis,10412,Passerellidae,Passeriformes,AVIBASE-05FF3C9B,8,3,5,0,4,11.6,7.8,4.5,5.3,21.1,75.2,16.4,58.6,21.9,63.8,19.5,Dunning,,NO,,,Forest,2,3,Herbivore,Granivore,Generalist,30.59,70.27,53.3,-109.7,10167654.77
DICK,Dickcissel ,Passeriformes,Cardinalidae,Spiza,americana,10710,Cardinalidae,Passeriformes,AVIBASE-592E58CE,9,4,5,0,4,15.1,9.8,5.5,7.5,22.3,77.9,20.3,56.8,26.4,56.1,26.2,Dunning,,NO,,,Grassland,3,3,Omnivore,Omnivore,Terrestrial,28.75,51.42,39.97,-94.69,3462252.57
DOWO,Downy Woodpecker,Piciformes,Picidae,Dryobates,pubescens,3972,Picidae,Piciformes,AVIBASE-1B2A6386,11,5,6,0,5,17.4,12.2,4.9,4.8,15.8,91.3,24.3,65.9,27,58.6,25.6,Dunning,,NO,,,Woodland,2,1,Carnivore,Invertivore,Insessorial,24.53,68.3,48.23,-104.67,12800223.82
EABL,Eastern Bluebird,Passeriformes,Turdidae,Sialia,sialis,8848,Turdidae,Passeriformes,AVIBASE-A8347C7D,4,2,2,0,4,15.4,9.1,4.2,4.5,19.7,95.8,31.4,64.4,32.8,62.5,27.5,Dunning,,NO,,,Woodland,2,2,Carnivore,Invertivore,Insessorial,12.85,53.98,38.51,-89.69,5460000
EAKI,Eastern Kingbird ,Passeriformes,Tyrannidae,Tyrannus,tyrannus,5734,Tyrannidae,Passeriformes,AVIBASE-082D833C,10,2,3,5,4,21.5,14.8,8.2,6.5,18.5,116.7,38.6,77.2,33.3,87.6,39.9,Dunning,,NO,,,Woodland,2,3,Carnivore,Invertivore,Insessorial,24.95,65.28,45.77,-98.88,9124093.16
EAME,Eastern Meadowlark ,Passeriformes,Icteridae,Sturnella,magna,10451,Icteridae,Passeriformes,AVIBASE-27410227,13,4,8,1,6,33.5,20,6.1,8.2,39.8,108.1,28.4,86.1,24.8,67.4,91.8,Dunning,,NO,,,Grassland,3,2,Carnivore,Invertivore,Terrestrial,-2.91,50.71,30.39,-84.52,7031582.36
EAPH,Eastern Phoebe ,Passeriformes,Tyrannidae,Sayornis,phoebe,5871,Tyrannidae,Passeriformes,AVIBASE-62CA2AF8,5,2,3,0,4,17.4,9.7,5.5,4.1,17.7,83.9,17.4,66.7,20.6,70.1,19.7,Dunning,,NO,,,Forest,2,3,Carnivore,Invertivore,Insessorial,28.79,65.21,47.3,-95.73,6246276.45
EATO,Eastern Towhee,Passeriformes,Passerellidae,Pipilo,erythrophthalmus,10360,Passerellidae,Passeriformes,AVIBASE-6090278A,13,6,7,0,8,15.4,9.8,5.5,8.2,27,82.3,11.1,70.8,13.6,91.7,40,Dunning,,NO,,,Forest,2,2,Herbivore,Omnivore,Generalist,24.53,51.51,39.13,-85.4,3162018.06
EAWP,Eastern Wood-Pewee,Passeriformes,Tyrannidae,Contopus,virens,5894,Tyrannidae,Passeriformes,AVIBASE-9891BF73,19,3,7,9,4,14.3,10,6.3,4,14.2,81,25.6,57,31,62.7,13.9,Dunning,,NO,,,Forest,1,3,Carnivore,Invertivore,Insessorial,27.9,50.6,40.17,-86.94,4080253.15
EUST,European Starling,Passeriformes,Sturnidae,Sturnus,vulgaris,8683,Sturnidae,Passeriformes,AVIBASE-94A44032,28,11,17,0,10,30.2,18.5,6.6,6.5,29,128.3,49.2,79.1,38.4,65.8,77.1,Dunning,,NO,,,Human Modified,3,2,Omnivore,Omnivore,Insessorial,24.55,71.19,50.32,52.41,17082191.68
