"","Species","Watershed_name","Common_name","numyears","numpresent","percyears","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","chiPval","chi_fearly","chi_flate","runsPval","numtransitions","trend","classification","order","family","rarity_on_landscape","rarity source","diet: plant","diet: vertebrate","diet: invertebrate","diet","diet source","litters_per_year","litter_size","litter freq & size citation","biomass (g)","biomass source","Notes","Home Range?"
"38","Reithrodontomys_montanus","4B","Plains harvest mouse",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,"No_change-absent","Rodentia","Cricetidae","Rare","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",100,0,0,"Granivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","NA",3.94,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",10.9,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"39","Sigmodon_hispidus","4B","Hispid cotton rat",22,12,0.545454545454545,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0.545454545454545,0.545454545454545,0.515980841470414,11,0,"Random","Rodentia","Cricetidae","Local","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",50,0,50,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","2.0",5.44,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",92.4,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"40","Spermophilus_tridecemlineatus","4B","Thirteen-lined ground squirrel",22,7,0.318181818181818,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0671078820481869,0.545454545454545,0.0909090909090909,0.010546155307754,5,0,"Recurrent","Rodentia","Sciuridae","Common","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",80,0,20,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","1.0",8.08,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",131.7,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403","Genus is now Ictidomys",NA
"41","Synaptomys_cooperi","4B","Southern bog lemming",22,8,0.363636363636364,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0.65761917660119,0.454545454545455,0.272727272727273,0.150551023106129,8,0,"Random","Rodentia","Cricetidae","Local","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",80,0,20,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","2.75",3.09,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",31.9,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"42","Zapus_hudsonius","4B","Meadow jumping mouse",22,1,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,NA,"No_change-absent","Rodentia","Dipodidae","Present","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",80,0,20,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","2.0",5.36,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",17.1,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"43","Blarina_hylophaga","N1B","Elliot's short-tailed shrew",22,9,0.409090909090909,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0.363636363636364,0.454545454545455,0.0498842421806411,7,0,"Recurrent","Eulipotyphla","Soricidae","Common","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",30,30,40,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","1.5",6.5,"Schmidly, D. J. and Bradley, R. D. 2016. The Mammals of Texas, 7th Edition.",14.5,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"44","Chaetodipus_hispidus","N1B","Hispid pocket mouse",22,6,0.272727272727273,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0.632142422148543,0.181818181818182,0.363636363636364,0.966095858707133,12,0,"Random","Rodentia","Heteromyidae","Uncommon","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",90,0,10,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","2.0",5.34,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",32,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"45","Cryptotis_parva","N1B","North American least shrew",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,"No_change-absent","Soricomorpha","Soricidae","Present","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",10,0,90,"Omnivore","Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.","2.5",4.55,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",5,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"46","Microtus_ochrogaster","N1B","Prairie vole",22,11,0.5,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0.454545454545455,0.545454545454545,0.19109646115256,9,0,"Random","Rodentia","Cricetidae","Common","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",100,0,0,"Herbivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","4.07",3.87,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",38,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"47","Mus_musculus","N1B","House mouse",22,1,0.0454545454545455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,1,NA,"No_change-absent","Rodentia","Muridae","Rare","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",80,0,20,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","4.5",5.54,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",16.1,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"48","Neotoma_floridana","N1B","Eastern woodrat",22,11,0.5,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0.0880815116621899,0.272727272727273,0.727272727272727,0.00111216563121216,4,0,"Recurrent","Rodentia","Cricetidae","Common","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",90,0,10,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","2.5",3.11,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",244.7,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"49","Peromyscus_leucopus","N1B","White-footed mouse",22,20,0.909090909090909,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0.45831769413308,1,0.818181818181818,0.00772016053348725,2,0,"Random","Rodentia","Cricetidae","Common","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",40,10,50,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","4.5",4.27,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",21.2,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"50","Peromyscus_maniculatus","N1B","Deer mouse",22,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,NA,"No_change-present","Rodentia","Cricetidae","Common","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",40,10,50,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","2.6",4.76,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",21.3,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"51","Reithrodontomys_megalotis","N1B","Western harvest mouse",22,12,0.545454545454545,0,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0.545454545454545,0.545454545454545,0.344325113902638,10,0,"Random","Rodentia","Cricetidae","Common","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",100,0,0,"Granivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","4.5",4.18,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",9.4,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"52","Reithrodontomys_montanus","N1B","Plains harvest mouse",22,3,0.136363636363636,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0.0909090909090909,0.181818181818182,0.789718492573614,6,0,"Random","Rodentia","Cricetidae","Rare","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",100,0,0,"Granivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","NA",3.94,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",10.9,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"53","Sigmodon_hispidus","N1B","Hispid cotton rat",22,4,0.181818181818182,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0972544284390032,0.363636363636364,0,0.865715735723418,8,0,"Random","Rodentia","Cricetidae","Local","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",50,0,50,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","2.0",5.44,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",92.4,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"54","Spermophilus_tridecemlineatus","N1B","Thirteen-lined ground squirrel",22,7,0.318181818181818,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0.363636363636364,0.272727272727273,0.591199958903216,10,0,"Random","Rodentia","Sciuridae","Common","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",80,0,20,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","1.0",8.08,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",131.7,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403","Genus is now Ictidomys",NA
"55","Synaptomys_cooperi","N1B","Southern bog lemming",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,"No_change-absent","Rodentia","Cricetidae","Local","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",80,0,20,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","2.75",3.09,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",31.9,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"56","Zapus_hudsonius","N1B","Meadow jumping mouse",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,"No_change-absent","Rodentia","Dipodidae","Present","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",80,0,20,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","2.0",5.36,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",17.1,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"57","Blarina_hylophaga","N20B","Elliot's short-tailed shrew",22,11,0.5,0,1,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0.545454545454545,0.454545454545455,0.668919468132003,12,0,"Random","Eulipotyphla","Soricidae","Common","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",30,30,40,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","1.5",6.5,"Schmidly, D. J. and Bradley, R. D. 2016. The Mammals of Texas, 7th Edition.",14.5,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"58","Chaetodipus_hispidus","N20B","Hispid pocket mouse",22,3,0.136363636363636,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.214044217209977,0,0.272727272727273,0.122329498478443,4,0,"Random","Rodentia","Heteromyidae","Uncommon","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",90,0,10,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","2.0",5.34,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",32,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"59","Cryptotis_parva","N20B","North American least shrew",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,"No_change-absent","Soricomorpha","Soricidae","Present","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",10,0,90,"Omnivore","Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.","2.5",4.55,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",5,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"60","Microtus_ochrogaster","N20B","Prairie vole",22,11,0.5,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0.545454545454545,0.454545454545455,0.094963626596197,8,0,"Random","Rodentia","Cricetidae","Common","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",100,0,0,"Herbivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","4.07",3.87,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",38,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"61","Mus_musculus","N20B","House mouse",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,"No_change-absent","Rodentia","Muridae","Rare","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",80,0,20,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","4.5",5.54,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",16.1,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"62","Neotoma_floridana","N20B","Eastern woodrat",22,2,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.45831769413308,0,0.181818181818182,0.704779205675847,4,0,"Random","Rodentia","Cricetidae","Common","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",90,0,10,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","2.5",3.11,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",244.7,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"63","Peromyscus_leucopus","N20B","White-footed mouse",22,21,0.954545454545455,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,1,NA,"No_change-present","Rodentia","Cricetidae","Common","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",40,10,50,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","4.5",4.27,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",21.2,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"64","Peromyscus_maniculatus","N20B","Deer mouse",22,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,0,NA,"No_change-present","Rodentia","Cricetidae","Common","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",40,10,50,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","2.6",4.76,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",21.3,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"65","Reithrodontomys_megalotis","N20B","Western harvest mouse",22,17,0.772727272727273,0,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0.727272727272727,0.818181818181818,0.568808972561399,8,0,"Random","Rodentia","Cricetidae","Common","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",100,0,0,"Granivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","4.5",4.18,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",9.4,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"66","Reithrodontomys_montanus","N20B","Plains harvest mouse",22,1,0.0454545454545455,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,NA,"No_change-absent","Rodentia","Cricetidae","Rare","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",100,0,0,"Granivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","NA",3.94,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",10.9,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"67","Sigmodon_hispidus","N20B","Hispid cotton rat",22,6,0.272727272727273,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.632142422148543,0.363636363636364,0.181818181818182,0.761215990628236,10,0,"Random","Rodentia","Cricetidae","Local","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",50,0,50,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","2.0",5.44,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",92.4,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"68","Spermophilus_tridecemlineatus","N20B","Thirteen-lined ground squirrel",22,9,0.409090909090909,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0.385800564508283,0.545454545454545,0.272727272727273,0.565369681090055,11,0,"Random","Rodentia","Sciuridae","Common","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",80,0,20,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","1.0",8.08,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",131.7,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403","Genus is now Ictidomys",NA
"69","Synaptomys_cooperi","N20B","Southern bog lemming",22,1,0.0454545454545455,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,2,NA,"No_change-absent","Rodentia","Cricetidae","Local","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",80,0,20,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","2.75",3.09,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",31.9,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"70","Zapus_hudsonius","N20B","Meadow jumping mouse",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,"No_change-absent","Rodentia","Dipodidae","Present","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",80,0,20,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","2.0",5.36,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",17.1,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"71","Blarina_hylophaga","N4D","Elliot's short-tailed shrew",22,15,0.681818181818182,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0.359942102475147,0.545454545454545,0.818181818181818,0.0982576075417424,7,0,"Random","Eulipotyphla","Soricidae","Common","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",30,30,40,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","1.5",6.5,"Schmidly, D. J. and Bradley, R. D. 2016. The Mammals of Texas, 7th Edition.",14.5,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"72","Chaetodipus_hispidus","N4D","Hispid pocket mouse",22,5,0.227272727272727,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0.181818181818182,0.272727272727273,0.136137801617353,6,0,"Random","Rodentia","Heteromyidae","Uncommon","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",90,0,10,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","2.0",5.34,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",32,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"73","Cryptotis_parva","N4D","North American least shrew",22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,"No_change-absent","Soricomorpha","Soricidae","Present","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",10,0,90,"Omnivore","Kissling, W. D., et al. 2014. Establishing macroecological trait datasets: digitalization, extrapolation, and validation of diet preferences in terrestrial mammals worldwide. Ecology and Evolution 4:2913-2930.","2.5",4.55,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",5,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"74","Microtus_ochrogaster","N4D","Prairie vole",22,12,0.545454545454545,0,1,1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0.668524138886525,0.636363636363636,0.454545454545455,0.0998862578746007,8,0,"Random","Rodentia","Cricetidae","Common","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",100,0,0,"Herbivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","4.07",3.87,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",38,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
"75","Mus_musculus","N4D","House mouse",22,2,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.45831769413308,0,0.181818181818182,0.00772016053348725,2,0,"Random","Rodentia","Muridae","Rare","(modified from: McMillan, B.R., et al. 1997. Mammals of Konza Prairie: new observations and an updated species list. The Prairie Naturalist, 29:263-271.)",80,0,20,"Omnivore","Wilman, H., et al. 2014. EltonTraits 1.0: species-level foraging attributes of the world's birds and mammals. Ecology 95:2027.","4.5",5.54,"Jones, K. E. et al. 2009. PanTHERIA... Ecology 90:2648.",16.1,"Smith, F. A., et al. 2003. Body mass of late Quaternary mammals. Ecology 84:3403",NA,NA
